,date,year,month,region,country,no_of_visitor_arrivals,decade,season
13023,2014-04-01,2014,4,Asia,Hong Kong,69675,10s,Inter-monsoon (Mar-May)
13024,2014-04-01,2014,4,Asia,"China, People's Republic Of",126507,10s,Inter-monsoon (Mar-May)
13025,2014-04-01,2014,4,Asia,Taiwan,25865,10s,Inter-monsoon (Mar-May)
13026,2014-04-01,2014,4,Asia,"Korea, Republic Of",36247,10s,Inter-monsoon (Mar-May)
13027,2014-04-01,2014,4,Asia,India,79536,10s,Inter-monsoon (Mar-May)
13028,2014-04-01,2014,4,Asia,Pakistan,1225,10s,Inter-monsoon (Mar-May)
13029,2014-04-01,2014,4,Asia,"Sri Lanka, Republic Of",11131,10s,Inter-monsoon (Mar-May)
13030,2014-04-01,2014,4,Asia,Saudi Arabia,1379,10s,Inter-monsoon (Mar-May)
13031,2014-04-01,2014,4,Asia,Kuwait,448,10s,Inter-monsoon (Mar-May)
13032,2014-04-01,2014,4,Asia,United Arab Emirates,6512,10s,Inter-monsoon (Mar-May)
13033,2014-04-01,2014,4,Europe,United Kingdom,43704,10s,Inter-monsoon (Mar-May)
13034,2014-04-01,2014,4,Europe,Germany,22125,10s,Inter-monsoon (Mar-May)
13035,2014-04-01,2014,4,Europe,France,13643,10s,Inter-monsoon (Mar-May)
13036,2014-04-01,2014,4,Europe,Italy,4684,10s,Inter-monsoon (Mar-May)
13037,2014-04-01,2014,4,Europe,Netherlands,6517,10s,Inter-monsoon (Mar-May)
13038,2014-04-01,2014,4,Europe,Greece,602,10s,Inter-monsoon (Mar-May)
13039,2014-04-01,2014,4,Europe,Belgium-luxembourg,2664,10s,Inter-monsoon (Mar-May)
13040,2014-04-01,2014,4,Europe,Switzerland,10025,10s,Inter-monsoon (Mar-May)
13041,2014-04-01,2014,4,Europe,Austria,2104,10s,Inter-monsoon (Mar-May)
13042,2014-04-01,2014,4,Europe,Scandinavia,10263,10s,Inter-monsoon (Mar-May)
13043,2014-04-01,2014,4,Europe,CIS & Eastern Europe,13778,10s,Inter-monsoon (Mar-May)
13044,2014-04-01,2014,4,Americas,USA,36594,10s,Inter-monsoon (Mar-May)
13045,2014-04-01,2014,4,Americas,Canada,6861,10s,Inter-monsoon (Mar-May)
13046,2014-04-01,2014,4,Oceania,Australia,99811,10s,Inter-monsoon (Mar-May)
13047,2014-04-01,2014,4,Oceania,New Zealand,9520,10s,Inter-monsoon (Mar-May)
13049,2014-05-01,2014,5,Asia,Brunei,6254,10s,Inter-monsoon (Mar-May)
13050,2014-05-01,2014,5,Asia,Indonesia,267714,10s,Inter-monsoon (Mar-May)
13051,2014-05-01,2014,5,Asia,Malaysia,100648,10s,Inter-monsoon (Mar-May)
13052,2014-05-01,2014,5,Asia,Philippines,76976,10s,Inter-monsoon (Mar-May)
13053,2014-05-01,2014,5,Asia,Thailand,46683,10s,Inter-monsoon (Mar-May)
13054,2014-05-01,2014,5,Asia,Vietnam,36630,10s,Inter-monsoon (Mar-May)
13055,2014-05-01,2014,5,Asia,Myanmar,9538,10s,Inter-monsoon (Mar-May)
13056,2014-05-01,2014,5,Asia,Japan,54173,10s,Inter-monsoon (Mar-May)
13057,2014-05-01,2014,5,Asia,Hong Kong,47859,10s,Inter-monsoon (Mar-May)
13058,2014-05-01,2014,5,Asia,"China, People's Republic Of",95987,10s,Inter-monsoon (Mar-May)
13059,2014-05-01,2014,5,Asia,Taiwan,26699,10s,Inter-monsoon (Mar-May)
13060,2014-05-01,2014,5,Asia,"Korea, Republic Of",41946,10s,Inter-monsoon (Mar-May)
13061,2014-05-01,2014,5,Asia,India,118953,10s,Inter-monsoon (Mar-May)
13062,2014-05-01,2014,5,Asia,Pakistan,1357,10s,Inter-monsoon (Mar-May)
13063,2014-05-01,2014,5,Asia,"Sri Lanka, Republic Of",6994,10s,Inter-monsoon (Mar-May)
13064,2014-05-01,2014,5,Asia,Saudi Arabia,1556,10s,Inter-monsoon (Mar-May)
13065,2014-05-01,2014,5,Asia,Kuwait,390,10s,Inter-monsoon (Mar-May)
13066,2014-05-01,2014,5,Asia,United Arab Emirates,4609,10s,Inter-monsoon (Mar-May)
13067,2014-05-01,2014,5,Europe,United Kingdom,27661,10s,Inter-monsoon (Mar-May)
13068,2014-05-01,2014,5,Europe,Germany,15425,10s,Inter-monsoon (Mar-May)
13069,2014-05-01,2014,5,Europe,France,11980,10s,Inter-monsoon (Mar-May)
13070,2014-05-01,2014,5,Europe,Italy,3712,10s,Inter-monsoon (Mar-May)
13071,2014-05-01,2014,5,Europe,Netherlands,5888,10s,Inter-monsoon (Mar-May)
13072,2014-05-01,2014,5,Europe,Greece,607,10s,Inter-monsoon (Mar-May)
13073,2014-05-01,2014,5,Europe,Belgium-luxembourg,1792,10s,Inter-monsoon (Mar-May)
13074,2014-05-01,2014,5,Europe,Switzerland,6710,10s,Inter-monsoon (Mar-May)
13075,2014-05-01,2014,5,Europe,Austria,1518,10s,Inter-monsoon (Mar-May)
13076,2014-05-01,2014,5,Europe,Scandinavia,5895,10s,Inter-monsoon (Mar-May)
13077,2014-05-01,2014,5,Europe,CIS & Eastern Europe,11773,10s,Inter-monsoon (Mar-May)
13078,2014-05-01,2014,5,Americas,USA,35355,10s,Inter-monsoon (Mar-May)
13079,2014-05-01,2014,5,Americas,Canada,6803,10s,Inter-monsoon (Mar-May)
13080,2014-05-01,2014,5,Oceania,Australia,78280,10s,Inter-monsoon (Mar-May)
13081,2014-05-01,2014,5,Oceania,New Zealand,10812,10s,Inter-monsoon (Mar-May)
13083,2014-06-01,2014,6,Asia,Brunei,7393,10s,Southwest Monsoon (Jun-Sept)
13084,2014-06-01,2014,6,Asia,Indonesia,278181,10s,Southwest Monsoon (Jun-Sept)
13085,2014-06-01,2014,6,Asia,Malaysia,108945,10s,Southwest Monsoon (Jun-Sept)
13086,2014-06-01,2014,6,Asia,Philippines,56224,10s,Southwest Monsoon (Jun-Sept)
13087,2014-06-01,2014,6,Asia,Thailand,39083,10s,Southwest Monsoon (Jun-Sept)
13088,2014-06-01,2014,6,Asia,Vietnam,48999,10s,Southwest Monsoon (Jun-Sept)
13089,2014-06-01,2014,6,Asia,Myanmar,9530,10s,Southwest Monsoon (Jun-Sept)
13090,2014-06-01,2014,6,Asia,Japan,56044,10s,Southwest Monsoon (Jun-Sept)
13091,2014-06-01,2014,6,Asia,Hong Kong,47182,10s,Southwest Monsoon (Jun-Sept)
13092,2014-06-01,2014,6,Asia,"China, People's Republic Of",91485,10s,Southwest Monsoon (Jun-Sept)
13093,2014-06-01,2014,6,Asia,Taiwan,25807,10s,Southwest Monsoon (Jun-Sept)
13094,2014-06-01,2014,6,Asia,"Korea, Republic Of",37589,10s,Southwest Monsoon (Jun-Sept)
13095,2014-06-01,2014,6,Asia,India,94738,10s,Southwest Monsoon (Jun-Sept)
13096,2014-06-01,2014,6,Asia,Pakistan,2799,10s,Southwest Monsoon (Jun-Sept)
13097,2014-06-01,2014,6,Asia,"Sri Lanka, Republic Of",6369,10s,Southwest Monsoon (Jun-Sept)
13098,2014-06-01,2014,6,Asia,Saudi Arabia,2205,10s,Southwest Monsoon (Jun-Sept)
13099,2014-06-01,2014,6,Asia,Kuwait,769,10s,Southwest Monsoon (Jun-Sept)
13100,2014-06-01,2014,6,Asia,United Arab Emirates,5676,10s,Southwest Monsoon (Jun-Sept)
13101,2014-06-01,2014,6,Europe,United Kingdom,25126,10s,Southwest Monsoon (Jun-Sept)
13102,2014-06-01,2014,6,Europe,Germany,13270,10s,Southwest Monsoon (Jun-Sept)
13103,2014-06-01,2014,6,Europe,France,9288,10s,Southwest Monsoon (Jun-Sept)
13104,2014-06-01,2014,6,Europe,Italy,3674,10s,Southwest Monsoon (Jun-Sept)
13105,2014-06-01,2014,6,Europe,Netherlands,4962,10s,Southwest Monsoon (Jun-Sept)
13106,2014-06-01,2014,6,Europe,Greece,578,10s,Southwest Monsoon (Jun-Sept)
13107,2014-06-01,2014,6,Europe,Belgium-luxembourg,1654,10s,Southwest Monsoon (Jun-Sept)
13108,2014-06-01,2014,6,Europe,Switzerland,5454,10s,Southwest Monsoon (Jun-Sept)
13109,2014-06-01,2014,6,Europe,Austria,1231,10s,Southwest Monsoon (Jun-Sept)
13110,2014-06-01,2014,6,Europe,Scandinavia,5906,10s,Southwest Monsoon (Jun-Sept)
13111,2014-06-01,2014,6,Europe,CIS & Eastern Europe,10135,10s,Southwest Monsoon (Jun-Sept)
13112,2014-06-01,2014,6,Americas,USA,41609,10s,Southwest Monsoon (Jun-Sept)
13113,2014-06-01,2014,6,Americas,Canada,5516,10s,Southwest Monsoon (Jun-Sept)
13114,2014-06-01,2014,6,Oceania,Australia,81558,10s,Southwest Monsoon (Jun-Sept)
13115,2014-06-01,2014,6,Oceania,New Zealand,10922,10s,Southwest Monsoon (Jun-Sept)
13117,2014-07-01,2014,7,Asia,Brunei,6305,10s,Southwest Monsoon (Jun-Sept)
13118,2014-07-01,2014,7,Asia,Indonesia,296880,10s,Southwest Monsoon (Jun-Sept)
13119,2014-07-01,2014,7,Asia,Malaysia,101461,10s,Southwest Monsoon (Jun-Sept)
13120,2014-07-01,2014,7,Asia,Philippines,49506,10s,Southwest Monsoon (Jun-Sept)
13121,2014-07-01,2014,7,Asia,Thailand,43785,10s,Southwest Monsoon (Jun-Sept)
13122,2014-07-01,2014,7,Asia,Vietnam,55951,10s,Southwest Monsoon (Jun-Sept)
13123,2014-07-01,2014,7,Asia,Myanmar,9345,10s,Southwest Monsoon (Jun-Sept)
13124,2014-07-01,2014,7,Asia,Japan,69419,10s,Southwest Monsoon (Jun-Sept)
13125,2014-07-01,2014,7,Asia,Hong Kong,80808,10s,Southwest Monsoon (Jun-Sept)
13126,2014-07-01,2014,7,Asia,"China, People's Republic Of",180653,10s,Southwest Monsoon (Jun-Sept)
13127,2014-07-01,2014,7,Asia,Taiwan,44229,10s,Southwest Monsoon (Jun-Sept)
13128,2014-07-01,2014,7,Asia,"Korea, Republic Of",46666,10s,Southwest Monsoon (Jun-Sept)
13129,2014-07-01,2014,7,Asia,India,72724,10s,Southwest Monsoon (Jun-Sept)
13130,2014-07-01,2014,7,Asia,Pakistan,1374,10s,Southwest Monsoon (Jun-Sept)
13131,2014-07-01,2014,7,Asia,"Sri Lanka, Republic Of",5711,10s,Southwest Monsoon (Jun-Sept)
13132,2014-07-01,2014,7,Asia,Saudi Arabia,1760,10s,Southwest Monsoon (Jun-Sept)
13133,2014-07-01,2014,7,Asia,Kuwait,1208,10s,Southwest Monsoon (Jun-Sept)
13134,2014-07-01,2014,7,Asia,United Arab Emirates,8544,10s,Southwest Monsoon (Jun-Sept)
13135,2014-07-01,2014,7,Europe,United Kingdom,32046,10s,Southwest Monsoon (Jun-Sept)
13136,2014-07-01,2014,7,Europe,Germany,17014,10s,Southwest Monsoon (Jun-Sept)
13137,2014-07-01,2014,7,Europe,France,14405,10s,Southwest Monsoon (Jun-Sept)
13138,2014-07-01,2014,7,Europe,Italy,5153,10s,Southwest Monsoon (Jun-Sept)
13139,2014-07-01,2014,7,Europe,Netherlands,8089,10s,Southwest Monsoon (Jun-Sept)
13140,2014-07-01,2014,7,Europe,Greece,710,10s,Southwest Monsoon (Jun-Sept)
13141,2014-07-01,2014,7,Europe,Belgium-luxembourg,2987,10s,Southwest Monsoon (Jun-Sept)
13142,2014-07-01,2014,7,Europe,Switzerland,10503,10s,Southwest Monsoon (Jun-Sept)
13143,2014-07-01,2014,7,Europe,Austria,2575,10s,Southwest Monsoon (Jun-Sept)
13144,2014-07-01,2014,7,Europe,Scandinavia,9337,10s,Southwest Monsoon (Jun-Sept)
13145,2014-07-01,2014,7,Europe,CIS & Eastern Europe,11775,10s,Southwest Monsoon (Jun-Sept)
13146,2014-07-01,2014,7,Americas,USA,43508,10s,Southwest Monsoon (Jun-Sept)
13147,2014-07-01,2014,7,Americas,Canada,7052,10s,Southwest Monsoon (Jun-Sept)
13148,2014-07-01,2014,7,Oceania,Australia,106641,10s,Southwest Monsoon (Jun-Sept)
13149,2014-07-01,2014,7,Oceania,New Zealand,14075,10s,Southwest Monsoon (Jun-Sept)
13151,2014-08-01,2014,8,Asia,Brunei,5079,10s,Southwest Monsoon (Jun-Sept)
13152,2014-08-01,2014,8,Asia,Indonesia,234710,10s,Southwest Monsoon (Jun-Sept)
13153,2014-08-01,2014,8,Asia,Malaysia,93222,10s,Southwest Monsoon (Jun-Sept)
13154,2014-08-01,2014,8,Asia,Philippines,51074,10s,Southwest Monsoon (Jun-Sept)
13155,2014-08-01,2014,8,Asia,Thailand,40849,10s,Southwest Monsoon (Jun-Sept)
13156,2014-08-01,2014,8,Asia,Vietnam,41775,10s,Southwest Monsoon (Jun-Sept)
13157,2014-08-01,2014,8,Asia,Myanmar,8903,10s,Southwest Monsoon (Jun-Sept)
13158,2014-08-01,2014,8,Asia,Japan,95248,10s,Southwest Monsoon (Jun-Sept)
13159,2014-08-01,2014,8,Asia,Hong Kong,87173,10s,Southwest Monsoon (Jun-Sept)
13160,2014-08-01,2014,8,Asia,"China, People's Republic Of",174150,10s,Southwest Monsoon (Jun-Sept)
13161,2014-08-01,2014,8,Asia,Taiwan,38422,10s,Southwest Monsoon (Jun-Sept)
13162,2014-08-01,2014,8,Asia,"Korea, Republic Of",56623,10s,Southwest Monsoon (Jun-Sept)
13163,2014-08-01,2014,8,Asia,India,69960,10s,Southwest Monsoon (Jun-Sept)
13164,2014-08-01,2014,8,Asia,Pakistan,1951,10s,Southwest Monsoon (Jun-Sept)
13165,2014-08-01,2014,8,Asia,"Sri Lanka, Republic Of",9649,10s,Southwest Monsoon (Jun-Sept)
13166,2014-08-01,2014,8,Asia,Saudi Arabia,5290,10s,Southwest Monsoon (Jun-Sept)
13167,2014-08-01,2014,8,Asia,Kuwait,2784,10s,Southwest Monsoon (Jun-Sept)
13168,2014-08-01,2014,8,Asia,United Arab Emirates,11862,10s,Southwest Monsoon (Jun-Sept)
13169,2014-08-01,2014,8,Europe,United Kingdom,38342,10s,Southwest Monsoon (Jun-Sept)
13170,2014-08-01,2014,8,Europe,Germany,24544,10s,Southwest Monsoon (Jun-Sept)
13171,2014-08-01,2014,8,Europe,France,20541,10s,Southwest Monsoon (Jun-Sept)
13172,2014-08-01,2014,8,Europe,Italy,13280,10s,Southwest Monsoon (Jun-Sept)
13173,2014-08-01,2014,8,Europe,Netherlands,8541,10s,Southwest Monsoon (Jun-Sept)
13174,2014-08-01,2014,8,Europe,Greece,764,10s,Southwest Monsoon (Jun-Sept)
13175,2014-08-01,2014,8,Europe,Belgium-luxembourg,2946,10s,Southwest Monsoon (Jun-Sept)
13176,2014-08-01,2014,8,Europe,Switzerland,8837,10s,Southwest Monsoon (Jun-Sept)
13177,2014-08-01,2014,8,Europe,Austria,2608,10s,Southwest Monsoon (Jun-Sept)
13178,2014-08-01,2014,8,Europe,Scandinavia,5933,10s,Southwest Monsoon (Jun-Sept)
13179,2014-08-01,2014,8,Europe,CIS & Eastern Europe,13681,10s,Southwest Monsoon (Jun-Sept)
13180,2014-08-01,2014,8,Americas,USA,38067,10s,Southwest Monsoon (Jun-Sept)
13181,2014-08-01,2014,8,Americas,Canada,6641,10s,Southwest Monsoon (Jun-Sept)
13182,2014-08-01,2014,8,Oceania,Australia,82448,10s,Southwest Monsoon (Jun-Sept)
13183,2014-08-01,2014,8,Oceania,New Zealand,10939,10s,Southwest Monsoon (Jun-Sept)
13185,2014-09-01,2014,9,Asia,Brunei,5601,10s,Southwest Monsoon (Jun-Sept)
13186,2014-09-01,2014,9,Asia,Indonesia,206593,10s,Southwest Monsoon (Jun-Sept)
13187,2014-09-01,2014,9,Asia,Malaysia,99339,10s,Southwest Monsoon (Jun-Sept)
13188,2014-09-01,2014,9,Asia,Philippines,47246,10s,Southwest Monsoon (Jun-Sept)
13189,2014-09-01,2014,9,Asia,Thailand,35122,10s,Southwest Monsoon (Jun-Sept)
13190,2014-09-01,2014,9,Asia,Vietnam,28960,10s,Southwest Monsoon (Jun-Sept)
13191,2014-09-01,2014,9,Asia,Myanmar,8294,10s,Southwest Monsoon (Jun-Sept)
13192,2014-09-01,2014,9,Asia,Japan,74408,10s,Southwest Monsoon (Jun-Sept)
13193,2014-09-01,2014,9,Asia,Hong Kong,39931,10s,Southwest Monsoon (Jun-Sept)
13194,2014-09-01,2014,9,Asia,"China, People's Republic Of",105780,10s,Southwest Monsoon (Jun-Sept)
13195,2014-09-01,2014,9,Asia,Taiwan,25373,10s,Southwest Monsoon (Jun-Sept)
13196,2014-09-01,2014,9,Asia,"Korea, Republic Of",39276,10s,Southwest Monsoon (Jun-Sept)
13197,2014-09-01,2014,9,Asia,India,65751,10s,Southwest Monsoon (Jun-Sept)
13198,2014-09-01,2014,9,Asia,Pakistan,1115,10s,Southwest Monsoon (Jun-Sept)
13199,2014-09-01,2014,9,Asia,"Sri Lanka, Republic Of",7536,10s,Southwest Monsoon (Jun-Sept)
13200,2014-09-01,2014,9,Asia,Saudi Arabia,2311,10s,Southwest Monsoon (Jun-Sept)
13201,2014-09-01,2014,9,Asia,Kuwait,532,10s,Southwest Monsoon (Jun-Sept)
13202,2014-09-01,2014,9,Asia,United Arab Emirates,5012,10s,Southwest Monsoon (Jun-Sept)
13203,2014-09-01,2014,9,Europe,United Kingdom,35971,10s,Southwest Monsoon (Jun-Sept)
13204,2014-09-01,2014,9,Europe,Germany,22156,10s,Southwest Monsoon (Jun-Sept)
13205,2014-09-01,2014,9,Europe,France,10323,10s,Southwest Monsoon (Jun-Sept)
13206,2014-09-01,2014,9,Europe,Italy,5164,10s,Southwest Monsoon (Jun-Sept)
13207,2014-09-01,2014,9,Europe,Netherlands,6027,10s,Southwest Monsoon (Jun-Sept)
13208,2014-09-01,2014,9,Europe,Greece,759,10s,Southwest Monsoon (Jun-Sept)
13209,2014-09-01,2014,9,Europe,Belgium-luxembourg,2233,10s,Southwest Monsoon (Jun-Sept)
13210,2014-09-01,2014,9,Europe,Switzerland,7645,10s,Southwest Monsoon (Jun-Sept)
13211,2014-09-01,2014,9,Europe,Austria,2141,10s,Southwest Monsoon (Jun-Sept)
13212,2014-09-01,2014,9,Europe,Scandinavia,6365,10s,Southwest Monsoon (Jun-Sept)
13213,2014-09-01,2014,9,Europe,CIS & Eastern Europe,12025,10s,Southwest Monsoon (Jun-Sept)
13214,2014-09-01,2014,9,Americas,USA,33053,10s,Southwest Monsoon (Jun-Sept)
13215,2014-09-01,2014,9,Americas,Canada,5022,10s,Southwest Monsoon (Jun-Sept)
13216,2014-09-01,2014,9,Oceania,Australia,97642,10s,Southwest Monsoon (Jun-Sept)
13217,2014-09-01,2014,9,Oceania,New Zealand,10593,10s,Southwest Monsoon (Jun-Sept)
13219,2014-10-01,2014,10,Asia,Brunei,5440,10s,Inter-monsoon (Oct - Nov)
13220,2014-10-01,2014,10,Asia,Indonesia,226630,10s,Inter-monsoon (Oct - Nov)
13221,2014-10-01,2014,10,Asia,Malaysia,97184,10s,Inter-monsoon (Oct - Nov)
13222,2014-10-01,2014,10,Asia,Philippines,58572,10s,Inter-monsoon (Oct - Nov)
13223,2014-10-01,2014,10,Asia,Thailand,53916,10s,Inter-monsoon (Oct - Nov)
13224,2014-10-01,2014,10,Asia,Vietnam,30552,10s,Inter-monsoon (Oct - Nov)
13225,2014-10-01,2014,10,Asia,Myanmar,8958,10s,Inter-monsoon (Oct - Nov)
13226,2014-10-01,2014,10,Asia,Japan,68609,10s,Inter-monsoon (Oct - Nov)
13227,2014-10-01,2014,10,Asia,Hong Kong,40146,10s,Inter-monsoon (Oct - Nov)
13228,2014-10-01,2014,10,Asia,"China, People's Republic Of",133993,10s,Inter-monsoon (Oct - Nov)
13229,2014-10-01,2014,10,Asia,Taiwan,24197,10s,Inter-monsoon (Oct - Nov)
13230,2014-10-01,2014,10,Asia,"Korea, Republic Of",44810,10s,Inter-monsoon (Oct - Nov)
13231,2014-10-01,2014,10,Asia,India,88855,10s,Inter-monsoon (Oct - Nov)
13232,2014-10-01,2014,10,Asia,Pakistan,1161,10s,Inter-monsoon (Oct - Nov)
13233,2014-10-01,2014,10,Asia,"Sri Lanka, Republic Of",6987,10s,Inter-monsoon (Oct - Nov)
13234,2014-10-01,2014,10,Asia,Saudi Arabia,2349,10s,Inter-monsoon (Oct - Nov)
13235,2014-10-01,2014,10,Asia,Kuwait,896,10s,Inter-monsoon (Oct - Nov)
13236,2014-10-01,2014,10,Asia,United Arab Emirates,6704,10s,Inter-monsoon (Oct - Nov)
13237,2014-10-01,2014,10,Europe,United Kingdom,36971,10s,Inter-monsoon (Oct - Nov)
13238,2014-10-01,2014,10,Europe,Germany,21905,10s,Inter-monsoon (Oct - Nov)
13239,2014-10-01,2014,10,Europe,France,12351,10s,Inter-monsoon (Oct - Nov)
13240,2014-10-01,2014,10,Europe,Italy,4389,10s,Inter-monsoon (Oct - Nov)
13241,2014-10-01,2014,10,Europe,Netherlands,6051,10s,Inter-monsoon (Oct - Nov)
13242,2014-10-01,2014,10,Europe,Greece,669,10s,Inter-monsoon (Oct - Nov)
13243,2014-10-01,2014,10,Europe,Belgium-luxembourg,2029,10s,Inter-monsoon (Oct - Nov)
13244,2014-10-01,2014,10,Europe,Switzerland,9515,10s,Inter-monsoon (Oct - Nov)
13245,2014-10-01,2014,10,Europe,Austria,1844,10s,Inter-monsoon (Oct - Nov)
13246,2014-10-01,2014,10,Europe,Scandinavia,8413,10s,Inter-monsoon (Oct - Nov)
13247,2014-10-01,2014,10,Europe,CIS & Eastern Europe,14629,10s,Inter-monsoon (Oct - Nov)
13248,2014-10-01,2014,10,Americas,USA,36306,10s,Inter-monsoon (Oct - Nov)
13249,2014-10-01,2014,10,Americas,Canada,6696,10s,Inter-monsoon (Oct - Nov)
13250,2014-10-01,2014,10,Oceania,Australia,87565,10s,Inter-monsoon (Oct - Nov)
13251,2014-10-01,2014,10,Oceania,New Zealand,9146,10s,Inter-monsoon (Oct - Nov)
13253,2014-11-01,2014,11,Asia,Brunei,5806,10s,Inter-monsoon (Oct - Nov)
13254,2014-11-01,2014,11,Asia,Indonesia,219369,10s,Inter-monsoon (Oct - Nov)
13255,2014-11-01,2014,11,Asia,Malaysia,106313,10s,Inter-monsoon (Oct - Nov)
13256,2014-11-01,2014,11,Asia,Philippines,53508,10s,Inter-monsoon (Oct - Nov)
13257,2014-11-01,2014,11,Asia,Thailand,35138,10s,Inter-monsoon (Oct - Nov)
13258,2014-11-01,2014,11,Asia,Vietnam,29938,10s,Inter-monsoon (Oct - Nov)
13259,2014-11-01,2014,11,Asia,Myanmar,7973,10s,Inter-monsoon (Oct - Nov)
13260,2014-11-01,2014,11,Asia,Japan,69415,10s,Inter-monsoon (Oct - Nov)
13261,2014-11-01,2014,11,Asia,Hong Kong,39019,10s,Inter-monsoon (Oct - Nov)
13262,2014-11-01,2014,11,Asia,"China, People's Republic Of",131731,10s,Inter-monsoon (Oct - Nov)
13263,2014-11-01,2014,11,Asia,Taiwan,21240,10s,Inter-monsoon (Oct - Nov)
13264,2014-11-01,2014,11,Asia,"Korea, Republic Of",40230,10s,Inter-monsoon (Oct - Nov)
13265,2014-11-01,2014,11,Asia,India,71555,10s,Inter-monsoon (Oct - Nov)
13266,2014-11-01,2014,11,Asia,Pakistan,1242,10s,Inter-monsoon (Oct - Nov)
13267,2014-11-01,2014,11,Asia,"Sri Lanka, Republic Of",7603,10s,Inter-monsoon (Oct - Nov)
13268,2014-11-01,2014,11,Asia,Saudi Arabia,1660,10s,Inter-monsoon (Oct - Nov)
13269,2014-11-01,2014,11,Asia,Kuwait,404,10s,Inter-monsoon (Oct - Nov)
13270,2014-11-01,2014,11,Asia,United Arab Emirates,4754,10s,Inter-monsoon (Oct - Nov)
13271,2014-11-01,2014,11,Europe,United Kingdom,37909,10s,Inter-monsoon (Oct - Nov)
13272,2014-11-01,2014,11,Europe,Germany,21514,10s,Inter-monsoon (Oct - Nov)
13273,2014-11-01,2014,11,Europe,France,11762,10s,Inter-monsoon (Oct - Nov)
13274,2014-11-01,2014,11,Europe,Italy,5559,10s,Inter-monsoon (Oct - Nov)
13275,2014-11-01,2014,11,Europe,Netherlands,6447,10s,Inter-monsoon (Oct - Nov)
13276,2014-11-01,2014,11,Europe,Greece,691,10s,Inter-monsoon (Oct - Nov)
13277,2014-11-01,2014,11,Europe,Belgium-luxembourg,2546,10s,Inter-monsoon (Oct - Nov)
13278,2014-11-01,2014,11,Europe,Switzerland,8983,10s,Inter-monsoon (Oct - Nov)
13279,2014-11-01,2014,11,Europe,Austria,2303,10s,Inter-monsoon (Oct - Nov)
13280,2014-11-01,2014,11,Europe,Scandinavia,8559,10s,Inter-monsoon (Oct - Nov)
13281,2014-11-01,2014,11,Europe,CIS & Eastern Europe,16933,10s,Inter-monsoon (Oct - Nov)
13282,2014-11-01,2014,11,Americas,USA,39705,10s,Inter-monsoon (Oct - Nov)
13283,2014-11-01,2014,11,Americas,Canada,7662,10s,Inter-monsoon (Oct - Nov)
13284,2014-11-01,2014,11,Oceania,Australia,73262,10s,Inter-monsoon (Oct - Nov)
13285,2014-11-01,2014,11,Oceania,New Zealand,7435,10s,Inter-monsoon (Oct - Nov)
13287,2014-12-01,2014,12,Asia,Brunei,11998,10s,Northeast Monsoon (Dec-Feb)
13288,2014-12-01,2014,12,Asia,Indonesia,315395,10s,Northeast Monsoon (Dec-Feb)
13289,2014-12-01,2014,12,Asia,Malaysia,143276,10s,Northeast Monsoon (Dec-Feb)
13290,2014-12-01,2014,12,Asia,Philippines,64526,10s,Northeast Monsoon (Dec-Feb)
13291,2014-12-01,2014,12,Asia,Thailand,39035,10s,Northeast Monsoon (Dec-Feb)
13292,2014-12-01,2014,12,Asia,Vietnam,31185,10s,Northeast Monsoon (Dec-Feb)
13293,2014-12-01,2014,12,Asia,Myanmar,9859,10s,Northeast Monsoon (Dec-Feb)
13294,2014-12-01,2014,12,Asia,Japan,71920,10s,Northeast Monsoon (Dec-Feb)
13295,2014-12-01,2014,12,Asia,Hong Kong,45669,10s,Northeast Monsoon (Dec-Feb)
13296,2014-12-01,2014,12,Asia,"China, People's Republic Of",124615,10s,Northeast Monsoon (Dec-Feb)
13297,2014-12-01,2014,12,Asia,Taiwan,18577,10s,Northeast Monsoon (Dec-Feb)
13298,2014-12-01,2014,12,Asia,"Korea, Republic Of",40918,10s,Northeast Monsoon (Dec-Feb)
13299,2014-12-01,2014,12,Asia,India,82520,10s,Northeast Monsoon (Dec-Feb)
13300,2014-12-01,2014,12,Asia,Pakistan,1505,10s,Northeast Monsoon (Dec-Feb)
13301,2014-12-01,2014,12,Asia,"Sri Lanka, Republic Of",8608,10s,Northeast Monsoon (Dec-Feb)
13302,2014-12-01,2014,12,Asia,Saudi Arabia,1292,10s,Northeast Monsoon (Dec-Feb)
13303,2014-12-01,2014,12,Asia,Kuwait,781,10s,Northeast Monsoon (Dec-Feb)
13304,2014-12-01,2014,12,Asia,United Arab Emirates,7868,10s,Northeast Monsoon (Dec-Feb)
13305,2014-12-01,2014,12,Europe,United Kingdom,38425,10s,Northeast Monsoon (Dec-Feb)
13306,2014-12-01,2014,12,Europe,Germany,24156,10s,Northeast Monsoon (Dec-Feb)
13307,2014-12-01,2014,12,Europe,France,10708,10s,Northeast Monsoon (Dec-Feb)
13308,2014-12-01,2014,12,Europe,Italy,5124,10s,Northeast Monsoon (Dec-Feb)
13309,2014-12-01,2014,12,Europe,Netherlands,6222,10s,Northeast Monsoon (Dec-Feb)
13310,2014-12-01,2014,12,Europe,Greece,763,10s,Northeast Monsoon (Dec-Feb)
13311,2014-12-01,2014,12,Europe,Belgium-luxembourg,2321,10s,Northeast Monsoon (Dec-Feb)
13312,2014-12-01,2014,12,Europe,Switzerland,8630,10s,Northeast Monsoon (Dec-Feb)
