,date,year,month,region,country,no_of_visitor_arrivals,decade,season
5789,1996-07-01,1996,7,Asia,"Korea, Republic Of",31934,90s,Southwest Monsoon (Jun-Sept)
5790,1996-07-01,1996,7,Asia,India,17268,90s,Southwest Monsoon (Jun-Sept)
5791,1996-07-01,1996,7,Asia,Pakistan,5458,90s,Southwest Monsoon (Jun-Sept)
5792,1996-07-01,1996,7,Asia,"Sri Lanka, Republic Of",3896,90s,Southwest Monsoon (Jun-Sept)
5793,1996-07-01,1996,7,Asia,Saudi Arabia,3012,90s,Southwest Monsoon (Jun-Sept)
5794,1996-07-01,1996,7,Asia,Kuwait,625,90s,Southwest Monsoon (Jun-Sept)
5795,1996-07-01,1996,7,Asia,United Arab Emirates,3246,90s,Southwest Monsoon (Jun-Sept)
5796,1996-07-01,1996,7,Europe,United Kingdom,24253,90s,Southwest Monsoon (Jun-Sept)
5797,1996-07-01,1996,7,Europe,Germany,12833,90s,Southwest Monsoon (Jun-Sept)
5798,1996-07-01,1996,7,Europe,France,6956,90s,Southwest Monsoon (Jun-Sept)
5799,1996-07-01,1996,7,Europe,Italy,3723,90s,Southwest Monsoon (Jun-Sept)
5800,1996-07-01,1996,7,Europe,Netherlands,6749,90s,Southwest Monsoon (Jun-Sept)
5801,1996-07-01,1996,7,Europe,Greece,1639,90s,Southwest Monsoon (Jun-Sept)
5802,1996-07-01,1996,7,Europe,Belgium-luxembourg,1999,90s,Southwest Monsoon (Jun-Sept)
5803,1996-07-01,1996,7,Europe,Switzerland,5086,90s,Southwest Monsoon (Jun-Sept)
5804,1996-07-01,1996,7,Europe,Austria,1930,90s,Southwest Monsoon (Jun-Sept)
5805,1996-07-01,1996,7,Europe,Scandinavia,7801,90s,Southwest Monsoon (Jun-Sept)
5806,1996-07-01,1996,7,Europe,CIS & Eastern Europe,3871,90s,Southwest Monsoon (Jun-Sept)
5807,1996-07-01,1996,7,Americas,USA,31229,90s,Southwest Monsoon (Jun-Sept)
5808,1996-07-01,1996,7,Americas,Canada,5535,90s,Southwest Monsoon (Jun-Sept)
5809,1996-07-01,1996,7,Oceania,Australia,33270,90s,Southwest Monsoon (Jun-Sept)
5810,1996-07-01,1996,7,Oceania,New Zealand,7046,90s,Southwest Monsoon (Jun-Sept)
5812,1996-08-01,1996,8,Asia,Brunei,6245,90s,Southwest Monsoon (Jun-Sept)
5813,1996-08-01,1996,8,Asia,Indonesia,82822,90s,Southwest Monsoon (Jun-Sept)
5814,1996-08-01,1996,8,Asia,Malaysia,56621,90s,Southwest Monsoon (Jun-Sept)
5815,1996-08-01,1996,8,Asia,Philippines,11997,90s,Southwest Monsoon (Jun-Sept)
5816,1996-08-01,1996,8,Asia,Thailand,19165,90s,Southwest Monsoon (Jun-Sept)
5817,1996-08-01,1996,8,Asia,Vietnam,2126,90s,Southwest Monsoon (Jun-Sept)
5818,1996-08-01,1996,8,Asia,Japan,114635,90s,Southwest Monsoon (Jun-Sept)
5819,1996-08-01,1996,8,Asia,Hong Kong,37623,90s,Southwest Monsoon (Jun-Sept)
5820,1996-08-01,1996,8,Asia,"China, People's Republic Of",17662,90s,Southwest Monsoon (Jun-Sept)
5821,1996-08-01,1996,8,Asia,Taiwan,57162,90s,Southwest Monsoon (Jun-Sept)
5822,1996-08-01,1996,8,Asia,"Korea, Republic Of",37145,90s,Southwest Monsoon (Jun-Sept)
5823,1996-08-01,1996,8,Asia,India,16020,90s,Southwest Monsoon (Jun-Sept)
5824,1996-08-01,1996,8,Asia,Pakistan,4038,90s,Southwest Monsoon (Jun-Sept)
5825,1996-08-01,1996,8,Asia,"Sri Lanka, Republic Of",3744,90s,Southwest Monsoon (Jun-Sept)
5826,1996-08-01,1996,8,Asia,Saudi Arabia,4568,90s,Southwest Monsoon (Jun-Sept)
5827,1996-08-01,1996,8,Asia,Kuwait,685,90s,Southwest Monsoon (Jun-Sept)
5828,1996-08-01,1996,8,Asia,United Arab Emirates,3235,90s,Southwest Monsoon (Jun-Sept)
5829,1996-08-01,1996,8,Europe,United Kingdom,28483,90s,Southwest Monsoon (Jun-Sept)
5830,1996-08-01,1996,8,Europe,Germany,13530,90s,Southwest Monsoon (Jun-Sept)
5831,1996-08-01,1996,8,Europe,France,8287,90s,Southwest Monsoon (Jun-Sept)
5832,1996-08-01,1996,8,Europe,Italy,6692,90s,Southwest Monsoon (Jun-Sept)
5833,1996-08-01,1996,8,Europe,Netherlands,5781,90s,Southwest Monsoon (Jun-Sept)
5834,1996-08-01,1996,8,Europe,Greece,1768,90s,Southwest Monsoon (Jun-Sept)
5835,1996-08-01,1996,8,Europe,Belgium-luxembourg,1918,90s,Southwest Monsoon (Jun-Sept)
5836,1996-08-01,1996,8,Europe,Switzerland,4140,90s,Southwest Monsoon (Jun-Sept)
5837,1996-08-01,1996,8,Europe,Austria,2096,90s,Southwest Monsoon (Jun-Sept)
5838,1996-08-01,1996,8,Europe,Scandinavia,5588,90s,Southwest Monsoon (Jun-Sept)
5839,1996-08-01,1996,8,Europe,CIS & Eastern Europe,3832,90s,Southwest Monsoon (Jun-Sept)
5840,1996-08-01,1996,8,Americas,USA,29037,90s,Southwest Monsoon (Jun-Sept)
5841,1996-08-01,1996,8,Americas,Canada,5544,90s,Southwest Monsoon (Jun-Sept)
