,date,year,month,decade,season,total_rainfall,rainy_days,daily_max_rainfall,mean_temp,mean_rh
174,1996-07-01,1996,7,90s,Southwest Monsoon (Jun-Sept),162.3,10,55.3,28.3,81.9
175,1996-08-01,1996,8,90s,Southwest Monsoon (Jun-Sept),258.4,18,64.6,27.4,83.4
176,1996-09-01,1996,9,90s,Southwest Monsoon (Jun-Sept),297.0,18,66.5,27.7,82.2
177,1996-10-01,1996,10,90s,Inter-monsoon (Oct - Nov),300.0,19,45.8,27.5,83.0
178,1996-11-01,1996,11,90s,Inter-monsoon (Oct - Nov),180.2,16,60.5,27.3,83.5
179,1996-12-01,1996,12,90s,Northeast Monsoon (Dec-Feb),185.5,15,72.4,26.6,82.9
180,1997-01-01,1997,1,90s,Northeast Monsoon (Dec-Feb),15.4,3,13.9,27.1,77.3
181,1997-02-01,1997,2,90s,Northeast Monsoon (Dec-Feb),105.4,8,35.7,27.4,80.8
182,1997-03-01,1997,3,90s,Inter-monsoon (Mar-May),34.3,10,17.4,28.1,79.6
183,1997-04-01,1997,4,90s,Inter-monsoon (Mar-May),118.4,12,44.6,28.1,82.7
184,1997-05-01,1997,5,90s,Inter-monsoon (Mar-May),41.6,6,35.6,29.3,77.7
185,1997-06-01,1997,6,90s,Southwest Monsoon (Jun-Sept),78.9,12,25.0,29.3,76.7
186,1997-07-01,1997,7,90s,Southwest Monsoon (Jun-Sept),18.6,9,5.4,28.8,76.5
187,1997-08-01,1997,8,90s,Southwest Monsoon (Jun-Sept),86.6,9,61.4,28.8,78.2
188,1997-09-01,1997,9,90s,Southwest Monsoon (Jun-Sept),31.1,3,24.3,28.8,77.0
189,1997-10-01,1997,10,90s,Inter-monsoon (Oct - Nov),78.4,8,36.5,28.2,81.0
190,1997-11-01,1997,11,90s,Inter-monsoon (Oct - Nov),158.3,13,53.6,27.8,82.8
191,1997-12-01,1997,12,90s,Northeast Monsoon (Dec-Feb),351.9,23,65.8,27.3,85.3
192,1998-01-01,1998,1,90s,Northeast Monsoon (Dec-Feb),268.8,13,79.7,28.0,83.2
193,1998-02-01,1998,2,90s,Northeast Monsoon (Dec-Feb),32.5,5,11.9,28.9,78.3
194,1998-03-01,1998,3,90s,Inter-monsoon (Mar-May),58.8,7,20.9,29.5,77.8
195,1998-04-01,1998,4,90s,Inter-monsoon (Mar-May),187.7,13,64.9,29.2,81.8
196,1998-05-01,1998,5,90s,Inter-monsoon (Mar-May),370.8,18,83.7,29.4,82.3
197,1998-06-01,1998,6,90s,Southwest Monsoon (Jun-Sept),198.8,15,42.8,28.6,82.1
198,1998-07-01,1998,7,90s,Southwest Monsoon (Jun-Sept),259.2,18,55.8,28.1,81.8
199,1998-08-01,1998,8,90s,Southwest Monsoon (Jun-Sept),195.0,18,35.5,27.5,85.4
200,1998-09-01,1998,9,90s,Southwest Monsoon (Jun-Sept),258.2,17,52.0,27.9,84.1
201,1998-10-01,1998,10,90s,Inter-monsoon (Oct - Nov),222.7,20,32.4,28.0,82.3
202,1998-11-01,1998,11,90s,Inter-monsoon (Oct - Nov),107.2,11,57.5,27.9,81.9
203,1998-12-01,1998,12,90s,Northeast Monsoon (Dec-Feb),463.4,22,84.4,26.6,88.5
204,1999-01-01,1999,1,90s,Northeast Monsoon (Dec-Feb),193.9,19,52.5,26.6,88.3
205,1999-02-01,1999,2,90s,Northeast Monsoon (Dec-Feb),67.4,9,32.1,27.2,82.4
206,1999-03-01,1999,3,90s,Inter-monsoon (Mar-May),181.4,16,52.4,27.1,87.5
207,1999-04-01,1999,4,90s,Inter-monsoon (Mar-May),88.5,14,29.2,28.3,82.6
208,1999-05-01,1999,5,90s,Inter-monsoon (Mar-May),157.1,13,42.8,28.0,84.4
